Less than Three epochs:   29.64779	  19.73622	  2.6123	[(5110, 55913, 440), (7626, 56934, 906)]
Less than Three epochs:   30.01997	  18.95831	  2.2893	[(7626, 56934, 942), (5110, 55913, 332)]
Less than Three epochs:   26.84453	  18.85229	  2.8933	[(7627, 56933, 154), (5121, 55856, 60)]
Less than Three epochs:   25.98890	  20.46277	  1.6972	[(7627, 56933, 664), (5108, 55888, 330)]
Less than Three epochs:   25.82509	  19.81086	  2.6692	[(7627, 56933, 679), (5121, 55856, 829)]
Less than Three epochs:   23.61972	  18.39063	  3.2837	[(7628, 56978, 288), (5128, 55912, 246)]
Less than Three epochs:   18.62845	  19.05289	  2.5935	[(7630, 57006, 222), (5133, 55860, 276)]
Less than Three epochs:   18.14497	  19.43389	  2.9002	[(5133, 55860, 658), (7630, 57006, 310)]
Less than Three epochs:   19.32754	  20.24697	  2.4932	[(7630, 57006, 940), (5134, 55868, 340)]
Less than Three epochs:   19.74486	  22.11525	  2.5470	[(7631, 57279, 794), (5134, 55868, 786)]
Less than Three epochs:   20.28541	  22.66971	  2.2921	[(7631, 57279, 860), (5126, 55923, 12)]
Less than Three epochs:   30.66342	  20.08950	  2.2283	[(5110, 55913, 820), (7632, 56987, 228)]
Less than Three epochs:   28.78889	  21.06248	  2.9984	[(5111, 55840, 257), (7632, 56987, 512)]
Less than Three epochs:   27.07084	  21.12641	  2.4196	[(7633, 56931, 614), (5108, 55888, 103)]
Less than Three epochs:   27.96927	  22.06856	  2.7316	[(5111, 55840, 570), (7633, 56931, 790)]
Less than Three epochs:   23.74377	  20.76389	  1.7854	[(7634, 56935, 486)]
Less than Three epochs:   22.14385	  21.46039	  2.9712	[(5127, 55889, 820), (7635, 56979, 308)]
Less than Three epochs:   31.31764	  21.97480	  2.2985	[(7636, 56989, 206), (5113, 55924, 818)]
Less than Three epochs:   31.28892	  22.42017	  2.6291	[(5113, 55924, 806), (7636, 56989, 228)]
Less than Three epochs:   30.68798	  23.00980	  1.8786	[(7636, 56989, 653), (5113, 55924, 674)]
Less than Three epochs:   31.37273	  23.49624	  2.5836	[(5114, 55883, 158), (7636, 56989, 787)]
Less than Three epochs:   29.56484	  21.71958	  3.0317	[(5111, 55840, 108), (7637, 56933, 85)]
Less than Three epochs:   29.41722	  22.90088	  3.1389	[(5114, 55883, 442), (7637, 56933, 155)]
Less than Three epochs:   29.26189	  22.06197	  2.8109	[(5111, 55840, 858), (7637, 56933, 220)]
Less than Three epochs:   27.51801	  23.47068	  2.4175	[(7637, 56933, 501), (5112, 55895, 340)]
Less than Three epochs:   28.46629	  23.40903	  2.9349	[(7637, 56933, 651), (5112, 55895, 113)]
Less than Three epochs:   27.28779	  22.87262	  3.2140	[(7638, 56981, 106), (5112, 55895, 358)]
Less than Three epochs:   26.85004	  22.42930	  2.4362	[(5108, 55888, 830), (7638, 56981, 217)]
Less than Three epochs:  328.06549	  26.10927	  2.8309	[(5960, 56097, 896), (7641, 57307, 102)]
Less than Three epochs:  327.25192	  25.49375	  3.1820	[(5960, 56097, 310), (7641, 57307, 254)]
Less than Three epochs:  326.04269	  27.56501	  2.8197	[(5965, 56190, 276), (7641, 57307, 580)]
Less than Three epochs:  326.89276	  28.06268	  3.1241	[(5965, 56190, 936), (7641, 57307, 747)]
Less than Three epochs:  326.80058	  28.11743	  3.2321	[(7641, 57307, 754), (5965, 56190, 938)]
Less than Three epochs:  327.83565	  27.09828	  2.9825	[(7641, 57307, 932), (5964, 56098, 378)]
Less than Three epochs:  327.18042	  28.02918	  2.4375	[(5964, 56098, 591), (7642, 57651, 296)]
Less than Three epochs:  326.15790	  29.10286	  2.7275	[(5965, 56190, 788), (7642, 57651, 532)]
Less than Three epochs:  326.96527	  29.16791	  2.8267	[(5965, 56190, 954), (7642, 57651, 691)]
Less than Three epochs:  333.41940	  23.57012	  3.1774	[(7643, 57302, 163), (5950, 56211, 620)]
